TIME,VOLTAGE,CURRENT,WATT,KWH,DEVICE STATUS
23-06-11 11:08:17,201.779,3.845,775.058,7.8,ON
23-06-11 11:08:25,213.62,0.025,0.271,7.8,OFF
23-06-11 11:09:15,186.945,3.561,665.157,7.801,ON
23-06-11 11:10:53,209.038,0.025,0.029,7.82,OFF
23-06-11 11:11:55,184.64,3.489,643.645,7.821,ON
23-06-11 11:12:42,201.307,0.025,0.048,7.828,OFF
23-06-11 11:13:29,181.379,3.433,622.05,7.829,ON
23-06-11 11:14:16,201.787,0.025,0.186,7.837,OFF
23-06-11 11:16:02,186.199,3.513,653.459,7.838,ON
23-06-11 11:16:30,197.135,0.025,0.112,7.842,OFF
23-06-11 11:17:20,187.228,3.536,661.462,7.843,ON
23-06-11 11:17:47,193.765,0.025,0.027,7.846,OFF
23-06-11 11:21:25,178.639,3.39,604.98,7.847,ON
23-06-11 11:21:44,192.318,0.025,0.078,7.85,OFF
23-06-11 11:22:57,179.598,3.405,610.924,7.851,ON
23-06-11 11:23:11,178.266,3.386,602.917,7.853,ON
23-06-11 11:23:19,191.849,0.025,0.042,7.853,OFF
23-06-11 11:24:42,192.967,3.668,707.159,7.854,ON
23-06-11 11:26:28,188.596,0.025,0.184,7.872,OFF
23-06-11 11:38:11,195.755,0.025,0.103,7.872,OFF
23-05-23 15:58:28,175.043,3.337,583.775,6.68,ON
23-05-23 16:00:18,180.337,0.025,0.115,6.696,OFF
23-05-23 16:01:08,171.156,3.245,554.804,6.697,ON
23-05-23 16:01:42,177.343,0.025,0.15,6.701,OFF
23-05-05 10:00:45,199.564,5.76,1148.447,5.598,ON
23-05-05 10:04:19,206.128,0.025,0.013,5.66,OFF
23-05-05 10:04:47,188.148,5.425,1019.647,5.662,ON
23-05-05 10:04:56,207.302,0.025,0.066,5.663,OFF
23-05-05 10:05:20,188.641,5.433,1024.048,5.665,ON
23-05-05 10:05:28,208.102,0.025,0.053,5.665,OFF
23-05-05 10:14:52,209.351,0.025,0.143,5.665,OFF
23-05-05 10:29:52,211.731,0.025,0.009,5.665,OFF
23-05-05 10:38:17,185.606,5.383,998.208,5.667,ON
23-05-05 10:39:48,201.761,0.025,0.24,5.69,OFF
23-05-05 10:40:50,179.108,5.187,927.99,5.691,ON
23-05-05 10:44:52,184.168,5.246,965.283,5.754,ON
23-05-05 10:51:34,198.24,0.025,0.133,5.856,OFF
23-05-05 10:59:52,205.671,0.025,0.136,5.856,OFF
23-05-05 11:14:52,188.04,0.025,0.081,5.856,OFF
23-05-05 11:29:52,205.314,0.025,0.019,5.856,OFF
23-05-05 11:44:52,208.411,0.025,0.1,5.856,OFF
23-05-05 11:59:52,201.936,0.025,0.1,5.856,OFF
23-05-05 12:14:52,201.799,0.025,0.152,5.856,OFF
23-05-05 12:29:52,192.272,0.025,0.193,5.856,OFF
23-05-05 12:44:52,182.191,0.025,0.074,5.856,OFF
23-05-05 12:59:52,184.274,0.025,0.168,5.856,OFF
23-05-05 13:14:52,185.754,0.025,0.075,5.856,OFF
23-05-05 13:29:52,192.036,0.025,0.057,5.856,OFF
23-05-05 13:44:52,197.974,0.025,0.346,5.856,OFF
23-05-05 13:59:52,200.565,0.025,0.367,5.856,OFF
23-05-05 14:14:52,189.287,0.025,0.05,5.856,OFF
23-05-05 14:29:52,186.341,0.025,0.101,5.856,OFF
23-05-05 14:44:52,193.383,0.025,0.026,5.856,OFF
23-05-05 14:59:52,195.14,0.025,0.093,5.856,OFF
23-05-05 15:14:52,194.628,0.025,0.018,5.856,OFF
23-05-05 15:29:52,191.357,0.025,0.098,5.856,OFF
23-05-05 15:44:52,192.833,0.025,0.2,5.856,OFF
23-05-05 15:59:52,193.365,0.025,0.06,5.856,OFF
23-05-05 16:14:52,174.289,0.025,0.224,5.856,OFF
23-05-05 16:29:52,201.706,0.025,0.168,5.856,OFF
23-05-05 16:44:52,209.178,0.025,0.124,5.856,OFF
23-05-05 16:59:52,201.538,0.025,0.161,5.856,OFF
23-05-05 17:14:52,205.892,0.025,0.143,5.856,OFF
23-05-05 17:29:52,199.627,0.025,0.012,5.856,OFF
23-05-05 17:36:12,174.625,5.069,884.631,5.858,ON
23-05-05 17:44:52,186.574,5.312,990.01,5.997,ON
23-05-05 17:45:33,206.698,0.025,0.131,6.006,OFF
23-05-05 17:59:52,195.515,0.025,0.132,6.007,OFF
23-05-05 18:14:52,196.732,0.025,0.179,6.007,OFF
23-05-05 18:29:52,203.171,0.025,0.119,6.007,OFF
23-05-05 18:44:52,197.089,0.025,0.012,6.007,OFF
23-05-05 18:59:52,197.707,0.025,0.013,6.007,OFF
23-05-05 19:14:52,206.409,0.025,0.094,6.007,OFF
23-05-05 19:29:52,186.937,0.025,0.093,6.007,OFF
23-05-05 19:44:52,192.497,0.025,0.023,6.007,OFF
23-05-05 19:59:52,187.146,0.025,0.093,6.007,OFF
23-05-05 20:14:52,198.007,0.025,0.186,6.007,OFF
23-05-05 20:29:52,186.825,0.025,0.167,6.007,OFF
23-05-05 20:44:52,195.146,0.025,0.105,6.007,OFF
23-05-05 20:59:52,192.594,0.025,0.145,6.007,OFF
23-05-09 00:08:52,176.751,0.025,0.011,6.168,OFF
23-05-09 00:23:52,182.768,0.025,0.061,6.168,OFF
23-05-09 00:38:52,182.996,0.025,0.03,6.168,OFF
23-05-09 00:53:52,186.044,0.025,0.035,6.168,OFF
23-05-09 01:08:52,187.94,0.025,0.126,6.168,OFF
23-05-09 01:23:52,183.857,0.025,0.075,6.168,OFF
23-05-09 01:38:52,183.923,0.025,0.018,6.168,OFF
23-05-09 01:53:52,191.843,0.025,0.083,6.168,OFF
23-05-09 02:08:52,217.402,0.025,0.063,6.168,OFF
23-05-09 02:23:52,214.29,0.025,0.28,6.168,OFF
23-05-09 02:38:52,215.914,0.025,0.104,6.168,OFF
23-05-09 02:53:52,223.915,0.025,0.184,6.168,OFF
23-05-09 03:08:52,220.994,0.025,0.163,6.168,OFF
23-05-09 03:23:52,224.619,0.025,0.05,6.168,OFF
23-05-09 03:38:52,225.796,0.025,0.065,6.168,OFF
23-05-09 03:53:52,219.706,0.025,0.055,6.168,OFF
23-05-09 04:08:52,229.01,0.025,0.183,6.168,OFF
23-05-09 04:23:52,231.359,0.025,0.171,6.168,OFF
23-05-09 04:38:52,231.747,0.025,0.085,6.168,OFF
23-05-09 04:53:52,229.133,0.025,0.125,6.168,OFF
23-05-09 05:08:52,230.206,0.025,0.018,6.168,OFF
23-05-09 05:23:52,229.59,0.025,0.223,6.168,OFF
23-05-09 05:38:52,230.589,0.025,0.009,6.169,OFF
23-05-09 05:53:52,229.541,0.025,0.205,6.169,OFF
23-05-09 06:08:52,228.969,0.025,0.255,6.169,OFF
23-05-09 06:23:52,233.038,0.025,0.015,6.169,OFF
23-05-09 06:38:52,234.633,0.025,0.224,6.169,OFF
23-05-09 06:53:52,230.541,0.025,0.113,6.169,OFF
23-05-09 07:08:52,228.577,0.025,0.056,6.169,OFF
23-05-09 07:23:52,225.883,0.025,0.408,6.169,OFF
23-05-09 07:38:52,229.523,0.025,0.056,6.169,OFF
23-05-09 07:53:52,225.343,0.025,0.053,6.169,OFF
23-05-09 08:08:52,225.834,0.025,0.101,6.169,OFF
23-05-09 08:23:52,225.301,0.025,0.159,6.169,OFF
23-05-09 08:38:52,224.309,0.025,0.026,6.169,OFF
23-05-09 08:53:52,203.565,0.025,0.108,6.169,OFF
23-05-09 09:08:52,223.209,0.025,0.096,6.169,OFF
23-05-09 09:23:52,221.948,0.025,0.019,6.169,OFF
