TIME,VOLTAGE,CURRENT,WATT,KWH,DEVICE STATUS
23-05-23 10:44:31,230.328,7.609,1750.89,2.302,ON
23-05-23 10:47:24,235.155,0.025,0.092,2.382,OFF
23-05-23 10:47:34,228.855,7.502,1715.098,2.385,ON
23-05-23 10:49:00,236.066,0.025,0.036,2.422,OFF
23-05-23 12:35:52,235.482,0.025,0.148,2.422,OFF
23-05-23 12:37:15,229.988,7.594,1744.759,2.425,ON
23-05-23 12:43:44,233.699,0.025,0.019,2.608,OFF
23-05-23 12:50:52,235.669,0.025,0.116,2.608,OFF
23-05-23 12:51:24,229.735,7.572,1737.902,2.61,ON
23-05-23 12:52:14,239.026,0.025,0.208,2.631,OFF
23-05-23 13:05:48,238.612,0.044,5.963,2.631,ON
23-05-23 13:05:52,238.117,0.045,6.212,2.631,ON
23-05-23 13:20:52,236.644,0.041,5.348,2.633,ON
23-05-23 13:29:11,238.194,0.025,0.052,2.8,OFF
23-05-23 13:29:24,237.778,0.039,5.236,2.8,ON
23-05-23 13:32:49,236.162,0.025,0.015,2.8,OFF
23-05-23 13:35:52,236.552,0.025,0.18,2.8,OFF
23-05-23 13:50:52,238.752,0.025,0.036,2.8,OFF
23-05-23 14:05:52,239.043,0.025,0.088,2.8,OFF
23-05-23 14:20:52,235.431,0.025,0.185,2.8,OFF
23-05-23 14:35:52,238.868,0.025,0.09,2.8,OFF
22-10-10 16:24:24,246.411,0.872,214.609,0.139,ON
00-00-00 00:00:00,141.514,0.025,0.065,0.162,OFF
22-10-08 00:14:51,229.884,0.025,0.342,0.007,OFF
22-10-08 00:29:51,229.728,0.025,0.288,0.007,OFF
22-10-08 00:44:51,230.586,0.025,0.068,0.007,OFF
22-10-08 00:59:51,230.428,0.025,0.133,0.007,OFF
22-10-08 01:14:51,229.514,0.025,0.235,0.007,OFF
22-10-08 01:29:51,229.981,0.025,0.104,0.007,OFF
22-10-08 01:44:51,229.603,0.025,0.06,0.007,OFF
22-10-08 01:59:51,229.768,0.025,0.163,0.007,OFF
22-10-08 02:14:51,230.236,0.025,0.1,0.008,OFF
22-10-08 02:29:51,229.967,0.025,0.051,0.008,OFF
22-10-08 02:44:51,230.136,0.025,0.025,0.008,OFF
22-10-08 02:59:51,229.94,0.025,0.013,0.008,OFF
22-10-08 03:14:51,230.32,0.025,0.149,0.008,OFF
22-10-08 03:29:51,230.203,0.025,0.054,0.008,OFF
22-10-08 03:44:51,229.718,0.025,0.289,0.008,OFF
22-10-08 03:59:51,229.658,0.025,0.007,0.008,OFF
22-10-08 04:14:51,230.181,0.025,0.244,0.008,OFF
22-10-08 04:29:51,229.606,0.025,0.164,0.008,OFF
22-10-08 04:44:51,230.117,0.025,0.039,0.008,OFF
22-10-08 04:59:51,230.546,0.025,0.128,0.008,OFF
22-10-08 05:14:51,230.185,0.025,0.096,0.008,OFF
22-10-08 05:29:51,229.815,0.025,0.201,0.008,OFF
22-10-08 05:44:51,230.602,0.025,0.229,0.008,OFF
22-10-08 05:59:51,229.705,0.025,0.135,0.008,OFF
22-10-08 06:14:51,229.934,0.025,0.012,0.008,OFF
22-10-08 06:29:51,230.336,0.025,0.176,0.008,OFF
22-10-08 06:44:51,229.912,0.025,0.212,0.008,OFF
22-10-08 06:59:51,230.476,0.025,0.153,0.008,OFF
22-10-08 07:14:51,230.095,0.025,0.144,0.008,OFF
22-10-08 07:29:51,230.263,0.025,0.049,0.008,OFF
22-10-08 07:44:51,230.198,0.025,0.22,0.008,OFF
22-10-08 07:59:51,230.143,0.025,0.118,0.008,OFF
22-10-08 08:14:51,230.417,0.025,0.011,0.008,OFF
22-10-08 08:29:51,230.033,0.025,0.12,0.008,OFF
22-10-08 08:44:51,230.135,0.025,0.012,0.008,OFF
22-10-08 08:59:51,230.558,0.025,0.111,0.008,OFF
22-10-08 09:14:51,229.967,0.025,0.142,0.008,OFF
22-10-08 09:29:51,229.896,0.025,0.026,0.008,OFF
22-10-08 09:44:51,229.976,0.025,0.013,0.008,OFF
22-10-08 09:59:51,230.176,0.025,0.006,0.008,OFF
22-10-08 10:14:51,229.519,0.025,0.056,0.008,OFF
22-10-08 10:23:40,226.189,4.071,916.874,0.01,ON
22-10-08 10:29:51,225.842,4.059,914.942,0.057,ON
22-10-08 10:41:33,229.867,0.025,1.255,0.138,OFF
22-10-08 10:44:51,230.262,0.025,0.087,0.138,OFF
22-10-08 10:59:51,229.912,0.025,0.069,0.138,OFF
22-10-08 11:14:51,227.239,0.025,0.118,0.138,OFF
22-10-08 11:29:51,229.626,0.025,0.104,0.138,OFF
22-10-08 11:44:51,229.356,0.025,0.233,0.138,OFF
22-10-08 11:59:51,229.554,0.025,0.151,0.138,OFF
22-10-08 12:14:51,229.499,0.025,0.031,0.138,OFF
22-10-08 12:29:51,229.655,0.025,0.01,0.138,OFF
22-10-08 12:44:51,230.199,0.025,0.247,0.138,OFF
22-10-08 12:59:51,230.043,0.025,0.268,0.138,OFF
22-10-08 13:14:51,229.363,0.025,0.094,0.138,OFF
22-10-08 13:29:51,228.09,0.025,0.15,0.138,OFF
22-10-08 13:44:51,229.58,0.025,0.21,0.138,OFF
22-10-08 13:59:51,229.089,0.025,0.035,0.138,OFF
22-10-08 14:14:51,229.631,0.025,0.079,0.138,OFF
22-10-08 14:29:51,229.271,0.025,0.25,0.138,OFF
22-10-08 14:44:51,229.829,0.025,0.14,0.138,OFF
22-10-08 14:59:51,229.342,0.025,0.068,0.138,OFF
22-10-08 15:14:51,230.091,0.025,0.035,0.138,OFF
22-10-08 15:29:51,229.776,0.025,0.015,0.138,OFF
22-10-08 15:44:51,229.183,0.025,0.134,0.138,OFF
22-10-08 15:59:51,229.902,0.025,0.029,0.138,OFF
22-10-08 16:14:51,229.401,0.025,0.034,0.138,OFF
23-04-26 10:49:59,245.429,8.085,1982.501,0.977,ON
23-04-26 10:57:05,248.396,8.156,2023.644,1.118,ON
23-06-20 08:42:55,232.249,7.662,1776.01,2.97,ON
23-06-20 08:46:27,238.779,0.025,0.018,3.07,OFF
23-06-20 09:49:44,227.876,4.335,986.747,3.072,ON
23-06-20 09:50:39,233.013,0.025,0.051,3.085,OFF
23-06-20 09:51:09,230.388,4.315,993.248,3.087,ON
23-06-20 09:51:22,234.069,0.025,0.108,3.089,OFF
23-06-20 09:52:04,230.44,4.312,992.673,3.09,ON
23-06-20 09:52:18,235.4,0.025,0.048,3.092,OFF
23-06-20 10:55:20,230.21,7.593,1746.2,3.095,ON
23-05-17 10:52:15,235.968,7.789,1836.083,1.223,ON
23-05-17 14:12:05,226.381,7.453,1685.556,1.373,ON
23-05-17 14:18:17,235.203,0.025,0.127,1.545,OFF
23-05-17 14:25:15,235.443,1.213,60.398,1.546,ON
23-05-17 14:27:29,234.276,0.025,0.051,1.605,OFF
23-05-17 14:40:01,235.078,0.025,0.069,1.605,OFF
23-05-17 14:55:01,235.969,0.025,0.14,1.605,OFF
23-05-17 15:10:01,234.616,0.025,1.97,1.605,OFF
23-05-17 15:25:01,235.298,0.025,2.384,1.606,OFF
23-05-17 15:40:01,234.352,0.025,0.593,1.607,OFF
23-05-17 15:55:01,233.733,0.025,0.512,1.607,OFF
23-05-17 16:10:01,231.927,0.025,0.577,1.607,OFF
23-05-17 16:25:01,234.029,0.025,0.406,1.607,OFF
23-05-17 16:53:55,238.106,0.025,0.274,1.607,OFF
23-05-17 17:08:55,235.991,0.025,0.285,1.607,OFF
23-05-17 17:23:55,238.899,0.025,0.203,1.607,OFF
23-05-17 17:38:55,235.996,0.025,0.078,1.607,OFF
23-05-17 17:53:55,235.458,0.025,0.033,1.607,OFF
23-05-17 18:05:51,230.761,7.617,1756.007,1.61,ON
23-05-17 18:08:37,237.741,0.025,0.258,1.687,OFF
23-05-17 18:08:55,239.074,0.025,0.008,1.687,OFF
22-10-07 16:04:39,247.759,0.207,9.742,0.001,ON
22-10-07 16:06:28,248.458,0.025,1.223,0.006,OFF
