TIME,VOLTAGE,CURRENT,WATT,KWH,DEVICE STATUS
23-06-11 14:30:34,228.038,0.025,0.256,4.871,OFF
23-06-11 14:45:34,227.219,0.025,0.237,4.871,OFF
23-06-11 15:00:34,226.624,0.025,0.242,4.871,OFF
23-06-11 15:15:34,231.359,0.025,0.405,4.871,OFF
23-06-11 15:30:34,227.237,0.025,0.39,4.871,OFF
23-06-11 15:45:34,230.222,0.025,0.249,4.871,OFF
23-06-11 16:00:34,228.479,0.025,0.12,4.871,OFF
23-06-11 16:15:34,233.474,0.025,0.248,4.871,OFF
23-06-11 16:30:34,227.829,0.025,0.196,4.871,OFF
23-06-11 16:45:34,229.248,0.025,0.162,4.871,OFF
23-06-11 17:00:34,228.336,0.025,0.147,4.871,OFF
23-06-11 17:15:34,225.13,0.025,0.177,4.872,OFF
23-06-11 17:30:34,225.274,0.025,0.371,4.872,OFF
23-06-11 17:45:34,227.502,0.025,0.085,4.872,OFF
23-06-11 18:00:34,230.481,0.025,0.144,4.872,OFF
23-06-11 18:15:34,237.558,0.025,0.157,4.872,OFF
23-06-11 18:30:34,232.786,0.025,0.108,4.872,OFF
23-06-11 18:45:34,234.196,0.025,0.076,4.872,OFF
23-06-11 19:00:34,232.763,0.025,0.003,4.872,OFF
23-06-11 19:15:34,235.14,0.025,0.117,4.872,OFF
23-06-11 19:30:34,232.607,0.025,0.146,4.872,OFF
23-06-11 19:45:34,233.413,0.025,0.089,4.872,OFF
23-06-11 20:00:34,230.981,0.025,0.031,4.872,OFF
23-06-11 20:15:34,231.952,0.025,0.208,4.872,OFF
23-06-11 20:30:34,236.906,0.025,0.147,4.872,OFF
23-06-11 20:45:34,234.955,0.025,0.203,4.872,OFF
23-06-11 21:00:34,231.02,0.025,0.164,4.872,OFF
23-06-11 21:15:34,227.161,0.025,0.221,4.872,OFF
23-06-11 21:30:34,231.139,0.025,0.248,4.872,OFF
23-06-11 21:45:34,227.441,0.025,0.134,4.872,OFF
23-06-11 22:00:34,230.756,0.025,0.114,4.872,OFF
23-06-11 22:15:34,224.509,0.025,0.114,4.872,OFF
23-06-11 22:30:34,223.195,0.025,0.021,4.872,OFF
