TIME,VOLTAGE,CURRENT,WATT,KWH,DEVICE STATUS
23-06-11 16:46:44,211.065,4.572,965.578,19.385,ON
23-06-11 17:00:16,219.588,0.025,0.435,19.589,OFF
23-06-11 17:01:43,206.104,4.402,907.717,19.59,ON
23-06-11 17:03:51,222.163,0.025,0.19,19.62,OFF
23-06-11 17:04:01,202.808,4.318,876.28,19.622,ON
23-06-11 17:04:39,219.59,0.025,0.325,19.63,OFF
23-06-11 17:04:49,201.75,4.297,867.538,19.631,ON
23-06-11 17:05:33,222.28,0.025,0.377,19.641,OFF
23-06-11 17:05:43,202.976,4.325,878.344,19.642,ON
23-06-11 17:06:25,226.189,0.025,0.436,19.651,OFF
23-06-11 17:06:35,206.709,4.405,910.953,19.652,ON
23-06-11 17:07:06,219.955,0.025,0.198,19.658,OFF
23-06-11 17:07:16,201.794,4.301,868.531,19.66,ON
23-06-11 17:07:58,220.263,0.025,0.453,19.668,OFF
23-06-11 17:08:08,200.761,4.279,859.757,19.67,ON
23-06-11 17:08:54,220.016,0.025,0.368,19.679,OFF
23-06-11 17:09:05,200.332,4.27,856.111,19.681,ON
23-06-11 17:09:45,221.283,0.025,0.269,19.689,OFF
23-06-11 17:09:55,202.042,4.309,871.15,19.69,ON
23-06-11 17:10:24,223.835,0.025,0.367,19.696,OFF
23-06-11 17:10:34,204.434,4.36,891.863,19.697,ON
23-06-11 17:11:05,220.702,0.025,0.257,19.703,OFF
23-06-11 17:11:16,202.343,4.317,874.177,19.705,ON
23-06-11 17:11:55,220.24,0.025,0.527,19.712,OFF
23-06-11 17:12:05,201.905,4.314,871.671,19.714,ON
23-06-11 17:12:40,222.276,0.025,0.473,19.721,OFF
23-06-11 17:12:50,202.827,4.337,880.229,19.722,ON
00-00-00 00:00:00,232.688,0.025,0.196,19.729,OFF
23-06-11 17:13:34,212.599,4.538,965.245,19.73,ON
23-06-11 17:13:59,232.21,0.025,0.387,19.735,OFF
23-06-11 17:14:09,211.358,4.515,954.974,19.737,ON
23-06-11 17:14:32,228.682,0.025,0.542,19.741,OFF
23-06-11 17:14:42,208.726,4.46,931.58,19.743,ON
23-06-11 17:15:09,227.592,0.025,0.133,19.748,OFF
23-06-11 17:15:19,208.271,4.452,927.79,19.749,ON
23-06-11 17:15:49,225.296,0.025,0.383,19.756,OFF
23-06-11 17:16:01,211.53,4.518,956.304,19.757,ON
23-06-11 17:16:23,231.277,0.025,0.191,19.761,OFF
23-06-11 17:16:33,208.065,4.443,924.904,19.763,ON
23-06-11 17:16:37,208.427,4.446,927.231,19.764,ON
23-06-11 17:16:58,229.89,0.025,0.266,19.768,OFF
23-06-11 17:17:08,209.883,4.483,941.399,19.769,ON
23-06-11 17:17:32,227.679,0.025,0.047,19.774,OFF
23-06-11 17:17:41,200.663,4.286,860.628,19.775,ON
23-06-11 17:18:19,222.277,0.025,0.492,19.783,OFF
23-06-11 17:18:30,203.402,4.341,883.463,19.784,ON
23-06-11 17:19:02,224.287,0.025,0.402,19.791,OFF
23-06-11 17:19:13,207.196,4.423,916.946,19.792,ON
23-06-11 17:19:51,225.907,0.025,0.336,19.8,OFF
23-06-11 17:20:03,206.621,4.412,912.161,19.801,ON
23-06-11 17:20:29,224.386,0.025,0.104,19.807,OFF
23-06-11 17:20:39,204.906,4.373,896.532,19.808,ON
23-06-11 17:21:10,224.403,0.025,0.336,19.814,OFF
23-06-11 17:21:21,205.075,4.382,899.61,19.816,ON
23-06-11 17:22:03,218.592,0.025,0.371,19.824,OFF
23-06-11 17:22:14,201.656,4.306,868.87,19.826,ON
23-06-11 17:22:41,220.756,0.025,0.173,19.831,OFF
23-06-11 17:22:51,201.362,4.301,866.364,19.832,ON
23-06-11 17:23:17,218.264,0.025,0.387,19.837,OFF
23-06-11 17:23:25,195.72,4.182,818.872,19.838,ON
23-06-11 17:24:02,215.522,0.025,0.379,19.845,OFF
23-06-11 17:24:12,196.328,4.197,824.475,19.847,ON
23-06-11 17:25:06,218.085,0.025,0.425,19.858,OFF
23-06-11 17:25:17,198.858,4.243,844.172,19.859,ON
23-06-11 17:25:49,221.449,0.025,0.346,19.865,OFF
23-06-11 17:25:59,200.556,4.281,859.101,19.867,ON
23-06-11 17:26:22,221.379,0.025,0.249,19.871,OFF
23-06-11 17:26:31,200.292,4.277,857.269,19.872,ON
23-06-11 17:26:53,217.822,0.025,0.367,19.876,OFF
23-06-11 17:27:02,199.144,4.247,846.304,19.877,ON
23-06-11 17:27:24,217.819,0.025,0.414,19.881,OFF
23-06-11 17:27:34,195.656,4.181,818.495,19.883,ON
23-06-11 17:28:30,216.572,0.025,0.17,19.894,OFF
23-06-11 17:28:41,199.232,4.26,849.275,19.895,ON
23-06-11 17:29:26,214.776,0.025,0.224,19.904,OFF
23-06-11 17:29:36,198.747,4.251,845.38,19.905,ON
23-06-11 17:30:19,220.318,0.025,0.146,19.914,OFF
23-06-11 17:30:30,201.796,4.308,869.703,19.916,ON
23-06-11 17:31:04,221.796,0.025,0.194,19.922,OFF
23-06-11 17:31:15,202.806,4.335,879.685,19.924,ON
23-06-11 17:31:37,203.182,4.334,881.207,19.929,ON
23-06-11 17:31:42,224.694,0.025,0.381,19.929,OFF
23-06-11 17:31:52,205.649,4.394,904.184,19.93,ON
23-06-11 17:32:24,223.737,0.025,0.095,19.937,OFF
