TIME,VOLTAGE,CURRENT,WATT,KWH,DEVICE STATUS
23-05-23 00:18:07,196.202,6.903,1358.47,34.073,ON
23-05-23 00:38:09,190.365,6.727,1284.253,34.124,ON
23-05-23 00:38:42,203.301,0.025,0.25,34.134,OFF
23-05-23 09:36:55,215.891,7.585,1642.208,34.137,ON
23-05-23 09:43:34,229.022,0.025,0.132,34.317,OFF
23-05-23 09:51:49,229.671,0.025,0.161,34.317,OFF
23-05-23 22:52:06,193.198,6.783,1314.244,34.319,ON
23-05-23 22:59:20,199.768,0.025,0.173,34.472,OFF
23-05-23 23:31:47,180.427,6.376,1153.719,34.474,ON
23-05-23 23:41:04,186.76,0.025,0.149,34.654,OFF
23-05-05 00:26:18,192.0,6.748,1299.176,19.115,ON
23-05-05 00:37:12,180.513,6.386,1156.009,19.301,ON
23-05-05 13:15:38,197.188,6.947,1373.71,19.481,ON
23-05-05 13:23:24,210.808,0.025,0.196,19.651,OFF
23-05-05 16:53:53,203.148,7.149,1456.414,19.653,ON
23-05-05 17:01:46,215.039,0.025,0.311,19.843,OFF
23-05-05 18:11:34,209.91,7.352,1547.826,19.846,ON
23-05-05 18:18:20,218.627,0.025,0.001,20.014,OFF
23-05-05 22:55:37,192.822,6.771,1309.376,20.017,ON
23-05-05 23:04:34,197.438,0.025,0.149,20.2,OFF
23-05-05 23:14:27,177.408,6.261,1113.93,20.202,ON
23-05-05 23:23:01,198.855,0.025,0.031,20.368,OFF
23-05-09 13:26:23,200.372,7.046,1415.683,23.506,ON
23-05-09 13:34:04,205.976,0.025,0.007,23.683,OFF
23-05-09 14:36:06,201.217,7.071,1426.988,23.686,ON
23-05-09 14:44:11,205.295,0.025,0.175,23.871,OFF
23-05-09 14:50:48,198.626,6.994,1393.229,23.874,ON
23-05-09 14:57:46,206.299,0.025,0.096,24.031,OFF
23-05-09 15:04:56,198.349,6.966,1385.514,24.033,ON
23-05-09 15:09:50,213.131,0.025,0.031,24.146,OFF
23-05-09 15:19:50,210.272,0.025,0.145,24.146,OFF
23-05-09 21:10:59,202.126,7.092,1437.544,24.148,ON
23-05-09 21:19:00,210.165,0.025,0.197,24.337,OFF
23-05-09 23:01:08,185.299,6.526,1212.949,24.339,ON
23-05-09 23:10:14,192.758,0.025,0.107,24.523,OFF
23-05-09 23:12:33,186.152,6.579,1228.209,24.525,ON
23-05-09 23:20:51,199.688,0.025,0.282,24.699,OFF
22-10-10 10:57:14,229.844,4.043,927.86,0.03,ON
22-10-10 11:11:47,231.705,3.799,877.841,0.145,ON
22-10-10 11:17:12,236.849,0.025,1.386,0.184,OFF
23-04-19 11:46:44,206.704,5.955,1234.432,1.086,ON
23-04-19 11:49:17,216.295,0.025,0.339,1.136,OFF
23-04-19 11:49:30,208.208,5.993,1250.32,1.138,ON
23-04-19 11:55:50,207.219,5.952,1236.834,1.264,ON
23-04-19 11:58:19,212.374,6.092,1297.277,1.281,ON
23-04-19 12:45:22,200.082,7.076,1420.425,1.449,ON
23-04-19 12:52:24,31.172,0.025,0.005,1.63,OFF
23-04-19 12:55:33,212.197,7.441,1583.397,1.633,ON
23-04-19 13:02:28,220.551,0.025,0.142,1.81,OFF
23-04-19 13:06:24,215.353,7.529,1626.277,1.813,ON
23-04-19 13:06:38,222.892,0.025,0.198,1.816,OFF
23-04-19 14:47:10,206.524,5.932,1228.254,1.818,ON
23-04-19 16:02:13,209.131,7.364,1544.506,1.977,ON
23-04-19 22:33:09,198.786,7.003,1396.239,2.16,ON
23-04-19 22:41:12,199.875,0.025,0.27,2.34,OFF
23-04-19 22:44:17,202.557,7.135,1449.284,2.343,ON
23-04-19 22:52:10,203.678,0.025,0.117,2.517,OFF
23-04-19 22:57:06,190.3,6.712,1281.014,2.52,ON
23-04-19 23:05:15,202.296,0.025,0.146,2.695,OFF
23-05-07 00:03:49,185.691,6.537,1217.292,21.092,ON
23-05-07 00:12:17,199.808,0.025,0.021,21.266,OFF
23-05-07 00:18:43,197.632,0.025,0.065,21.266,OFF
23-05-07 00:25:18,189.162,6.671,1265.483,21.268,ON
