TIME,VOLTAGE,CURRENT,WATT,KWH,DEVICE STATUS
23-06-11 01:53:30,220.362,6.376,1392.994,21.828,ON
23-06-11 02:00:58,225.395,0.025,0.038,21.995,OFF
23-06-11 02:06:12,223.571,6.466,1433.089,21.998,ON
23-06-11 02:07:10,228.755,0.025,0.278,22.018,OFF
23-06-11 02:08:24,228.848,0.025,0.08,22.018,OFF
23-06-11 02:09:18,223.921,6.475,1437.613,22.02,ON
23-06-11 02:09:36,229.151,0.025,0.151,22.025,OFF
23-06-11 02:09:46,222.399,6.406,1412.69,22.027,ON
23-06-11 02:13:33,227.096,0.025,0.085,22.112,OFF
23-06-11 02:23:24,231.188,0.025,0.039,22.112,OFF
23-06-11 02:38:24,232.755,0.025,0.569,22.112,OFF
23-06-11 02:53:24,232.03,0.025,0.068,22.112,OFF
23-06-11 03:08:24,228.345,0.025,0.094,22.112,OFF
23-06-11 11:53:27,211.815,6.149,1291.399,22.114,ON
23-06-11 12:01:57,209.183,0.025,0.087,22.286,OFF
23-06-11 12:08:16,209.416,0.025,0.061,22.286,OFF
23-06-11 13:30:08,210.339,6.141,1280.746,22.288,ON
23-06-11 13:38:09,205.822,5.913,1206.794,22.453,ON
23-06-11 13:38:38,212.247,0.025,0.048,22.461,OFF
23-06-14 00:35:25,203.991,5.913,1195.815,23.833,ON
23-06-14 00:38:01,213.206,0.025,0.067,23.883,OFF
23-06-14 00:49:54,208.047,0.025,0.189,23.883,OFF
23-06-14 01:05:39,204.378,5.918,1199.148,23.885,ON
23-06-14 01:14:30,215.586,0.025,0.085,24.064,OFF
23-06-14 14:49:19,206.334,6.001,1227.672,24.066,ON
23-06-14 15:27:42,210.414,6.123,1277.108,24.251,ON
23-06-14 15:36:34,213.545,0.025,0.193,24.432,OFF
23-06-14 15:39:45,203.26,5.915,1191.937,24.434,ON
23-06-14 15:42:22,201.626,5.795,1158.329,24.484,ON
23-06-14 15:48:44,209.932,0.025,0.246,24.607,OFF
23-06-14 15:57:22,209.585,0.025,0.013,24.607,OFF
23-06-14 19:45:26,209.546,6.029,1252.585,24.61,ON
23-05-23 01:03:26,202.286,5.879,1179.114,13.91,ON
23-05-05 17:08:01,214.182,6.208,1318.273,8.644,ON
23-05-05 20:38:32,210.955,6.073,1270.264,8.828,ON
23-05-09 01:42:23,221.989,6.405,1409.753,9.769,ON
23-05-09 01:54:31,221.767,6.472,1423.154,9.802,ON
23-06-05 01:13:06,206.793,6.012,1232.507,19.53,ON
23-06-05 01:39:39,218.722,6.252,1355.887,19.68,ON
23-04-19 08:10:29,241.002,5.317,1270.586,0.179,ON
23-04-19 08:10:53,248.244,0.025,0.117,0.186,OFF
23-04-19 08:12:36,239.018,5.264,1247.266,0.188,ON
23-04-19 08:12:45,245.777,0.025,0.436,0.188,OFF
23-04-19 08:13:59,238.727,5.248,1242.224,0.19,ON
23-04-19 08:14:08,246.716,0.025,0.063,0.192,OFF
23-04-19 08:16:32,239.894,5.279,1255.447,0.194,ON
23-04-19 08:16:41,248.193,0.025,0.006,0.195,OFF
23-04-19 08:17:21,240.545,5.287,1260.846,0.197,ON
23-04-19 08:17:29,246.735,0.025,0.272,0.197,OFF
23-04-19 08:17:54,240.529,5.285,1260.426,0.199,ON
23-04-19 08:18:06,247.771,0.025,0.304,0.201,OFF
23-04-19 08:18:44,240.257,5.29,1260.028,0.203,ON
23-04-19 08:18:51,246.704,0.025,0.168,0.204,OFF
23-04-19 08:19:17,241.018,5.305,1267.491,0.205,ON
23-04-19 08:19:26,248.315,0.025,0.054,0.206,OFF
23-04-19 08:19:59,242.318,5.339,1282.526,0.208,ON
23-04-19 08:20:09,249.621,0.025,0.051,0.209,OFF
23-04-19 08:20:42,241.73,5.33,1277.535,0.211,ON
23-04-19 08:20:51,249.087,0.025,0.025,0.212,OFF
23-04-19 08:21:25,241.597,5.333,1277.509,0.214,ON
23-04-19 08:21:34,249.02,0.025,0.173,0.215,OFF
23-04-19 08:22:09,241.367,5.296,1267.268,0.217,ON
23-04-19 08:22:17,248.833,0.025,0.058,0.218,OFF
23-04-19 08:23:05,241.709,5.322,1272.695,0.22,ON
23-04-19 08:23:14,249.396,0.025,0.163,0.22,OFF
23-04-19 08:24:08,238.187,5.251,1240.046,0.222,ON
23-04-19 08:24:17,245.167,0.025,0.194,0.223,OFF
