TIME,VOLTAGE,CURRENT,WATT,KWH,DEVICE STATUS
23-06-11 00:21:19,220.631,3.916,870.989,22.95,ON
23-06-11 00:26:17,225.349,0.025,0.231,23.019,OFF
23-06-11 00:26:25,219.527,3.807,842.412,23.02,ON
23-06-11 00:26:46,225.16,0.025,0.034,23.024,OFF
23-06-11 00:26:59,219.607,3.812,843.795,23.025,ON
23-06-11 00:27:10,225.424,0.025,0.061,23.026,OFF
23-06-11 00:27:18,219.862,3.815,845.363,23.028,ON
23-06-11 00:27:25,225.752,0.025,0.272,23.028,OFF
23-06-11 00:27:32,220.012,3.811,845.125,23.029,ON
23-06-11 00:27:38,225.715,0.025,0.136,23.029,OFF
23-06-11 00:27:53,219.739,3.823,846.729,23.031,ON
23-06-11 00:28:02,225.481,0.025,0.182,23.032,OFF
23-06-11 00:28:16,219.727,3.819,845.906,23.033,ON
23-06-11 00:28:24,225.618,0.025,0.153,23.033,OFF
23-06-11 00:28:40,219.761,3.818,845.832,23.035,ON
23-06-11 00:28:50,225.505,0.025,0.065,23.036,OFF
23-06-11 00:29:13,220.123,3.833,850.459,23.037,ON
23-06-11 00:29:21,225.408,0.025,0.21,23.038,OFF
23-06-11 00:29:37,219.713,3.82,845.958,23.039,ON
23-06-11 00:29:45,225.322,0.025,0.195,23.039,OFF
23-06-11 00:30:00,219.72,3.819,845.973,23.04,ON
23-06-11 00:30:06,225.753,0.025,0.015,23.04,OFF
23-06-11 00:30:15,220.383,3.826,850.055,23.042,ON
23-06-11 00:30:23,225.761,0.025,0.345,23.042,OFF
23-06-11 00:30:53,220.425,3.843,853.826,23.044,ON
23-06-11 00:31:01,226.2,0.025,0.142,23.044,OFF
23-06-11 00:31:23,221.014,3.854,858.61,23.046,ON
23-06-11 00:31:30,226.768,0.025,0.04,23.046,OFF
23-06-11 00:31:38,221.033,3.844,856.519,23.047,ON
23-06-11 00:31:47,227.031,0.025,0.139,23.048,OFF
23-06-11 00:32:05,221.241,3.851,858.723,23.049,ON
23-06-11 00:32:13,227.064,0.025,0.01,23.05,OFF
23-06-11 00:32:30,227.267,0.047,0.214,23.051,ON
23-06-11 00:32:36,227.195,0.025,0.037,23.051,OFF
23-06-11 00:32:58,221.351,3.861,861.462,23.053,ON
23-06-11 00:33:10,227.452,0.025,0.238,23.054,OFF
23-06-11 00:33:38,221.1,3.863,860.935,23.055,ON
23-06-11 00:33:47,227.157,0.025,0.055,23.056,OFF
23-06-11 00:33:55,221.071,3.847,857.39,23.058,ON
23-06-11 00:34:04,227.237,0.025,0.078,23.058,OFF
23-06-11 00:34:20,221.75,3.861,862.859,23.06,ON
23-06-11 00:34:26,227.509,0.025,0.053,23.06,OFF
23-06-11 00:34:46,221.791,3.867,864.483,23.061,ON
23-06-11 00:35:00,227.172,0.025,0.121,23.063,OFF
23-06-11 00:35:26,221.584,3.866,863.426,23.064,ON
23-06-11 00:35:34,227.197,0.025,0.152,23.065,OFF
23-06-11 00:35:47,221.404,3.86,861.42,23.066,ON
23-06-11 00:35:54,227.371,0.025,0.125,23.066,OFF
23-06-11 00:36:07,221.266,3.858,860.472,23.067,ON
23-06-11 00:36:12,227.268,0.025,0.017,23.068,ON
23-06-11 00:36:24,227.502,0.025,0.119,23.07,OFF
23-06-11 00:36:44,221.872,3.827,802.34,23.071,ON
23-06-11 00:36:50,227.832,0.025,0.01,23.071,OFF
23-06-11 00:37:08,221.023,3.85,857.866,23.073,ON
23-06-11 00:37:16,226.989,0.025,0.033,23.073,OFF
23-06-11 00:37:31,221.076,3.861,860.456,23.074,ON
23-06-11 00:37:40,227.057,0.025,0.055,23.075,OFF
23-06-11 00:37:54,221.624,3.858,862.066,23.076,ON
23-06-11 00:38:01,227.396,0.025,0.036,23.076,OFF
23-06-11 00:38:07,221.767,3.861,863.065,23.078,ON
23-06-11 00:38:14,227.357,0.025,0.08,23.078,OFF
23-06-11 00:38:26,221.507,3.858,861.51,23.079,ON
23-06-11 00:38:32,227.211,0.025,0.202,23.079,OFF
23-06-11 00:38:49,221.252,3.859,860.663,23.081,ON
23-06-11 00:38:57,226.868,0.025,0.011,23.081,OFF
23-06-11 00:39:08,221.325,3.854,859.829,23.082,ON
23-06-11 00:39:17,227.29,0.025,0.147,23.083,OFF
23-06-11 00:39:32,221.698,3.865,863.585,23.084,ON
23-06-11 00:39:42,227.193,0.025,0.016,23.085,OFF
23-06-11 00:40:02,221.2,3.86,860.747,23.087,ON
23-06-11 00:40:11,226.718,0.025,7.133,23.087,OFF
23-06-11 00:40:22,220.633,3.843,854.762,23.088,ON
23-06-11 00:40:31,225.638,0.025,0.146,23.089,OFF
23-06-11 00:40:42,220.003,3.831,849.721,23.09,ON
23-06-11 00:40:52,225.316,0.025,0.125,23.091,OFF
23-06-11 00:41:08,225.985,0.127,1.662,23.093,ON
23-06-11 00:41:14,225.752,0.025,0.179,23.093,OFF
23-06-11 00:41:31,220.122,3.842,852.535,23.094,ON
23-06-11 00:41:40,225.794,0.025,0.187,23.095,OFF
23-06-11 00:41:54,220.282,3.831,850.693,23.096,ON
23-06-11 00:42:02,226.158,0.025,0.163,23.097,OFF
23-06-11 00:42:18,219.177,3.818,843.448,23.098,ON
23-06-11 00:42:26,225.03,0.025,0.165,23.098,OFF
23-06-11 00:42:38,219.697,3.837,849.68,23.1,ON
23-06-11 00:42:46,225.15,0.025,0.025,23.1,OFF
23-06-11 00:42:57,220.757,3.847,856.115,23.102,ON
23-06-11 00:43:05,226.359,0.025,0.036,23.102,OFF
23-06-11 00:43:16,220.668,3.849,856.115,23.103,ON
23-06-11 00:43:27,226.67,0.025,0.055,23.104,OFF
23-06-11 00:43:46,220.904,3.854,858.197,23.106,ON
23-06-11 00:43:56,225.533,0.025,0.031,23.107,OFF
23-06-11 00:44:11,220.948,3.85,857.497,23.108,ON
23-06-11 00:44:18,226.816,0.025,0.115,23.108,OFF
